"rotadate","c1","c2","c3","c4","late","night","night2","night3","time_night","time_night2","n2_required","n2_ecmo","time_finish"
"2021-09-01","ajc","sw","sf",\0,\0,"sw","sf",\0,"05:00",\0,"000","0",\0
"2021-09-02","ajc","jm","sf",\0,\0,"jm","ajc",\0,"04:00","00:00","000","0",\0
"2021-09-03","dm","sw","sf",\0,\0,"sw","dm",\0,"06:00","00:00","000","0",\0
"2021-09-04","dm","sw","sf",\0,\0,"dm","sw",\0,"05:00","00:00","000","0",\0
"2021-09-05","dm","sw","sf",\0,\0,"sf","dm",\0,\0,"00:00",\0,\0,\0
"2021-09-06","dm","ks","jm",\0,\0,"ks","jm",\0,"05:00","00:00","000","0",\0
"2021-09-07","dm","im","jm",\0,\0,"im","dm",\0,"05:00","01:30","000","0",\0
"2021-09-08","dm","ks","jm",\0,\0,"ks","jm",\0,"10:00","00:00","001","0",\0
"2021-09-09","dm","im","jm",\0,\0,"im","dm",\0,"04:00","00:00","000","0",\0
"2021-09-10","pg","ks","jm",\0,\0,"ks","pg",\0,"01:00","00:00","000","0",\0
"2021-09-11","pg","ks","jm",\0,\0,"pg","ks",\0,"06:00","11:00","000","0",\0
"2021-09-12","pg","ks","jm",\0,\0,"jm","pg",\0,"11:00","00:00","000","0",\0
"2021-09-13","pg","la","al",\0,\0,"la","al",\0,"04:00","00:00","000","0",\0
"2021-09-14","pg","ck","al",\0,\0,"ck","pg",\0,"04:30","00:00","000","0",\0
"2021-09-15","pg","la","al",\0,\0,"la","al",\0,"04:30","05:00","001","0",\0
"2021-09-16","pg","ck","al",\0,\0,"ck","pg",\0,"07:00","00:00","000","0",\0
"2021-09-17","rb","la","al",\0,\0,"la","rb",\0,"07:00","13:00","001","0",\0
"2021-09-18","rb","la","al",\0,\0,"rb","la",\0,"09:30","04:30","000","0",\0
"2021-09-19","rb","la","al",\0,\0,"al","rb",\0,"06:30","01:30","000","0",\0
"2021-09-20","rb","ajc","is",\0,\0,"ajc","jm",\0,"08:00","00:00","000","0",\0
"2021-09-21","rb","ks","dm",\0,\0,"ks","rb",\0,"04:00","00:00","000","0",\0
"2021-09-22","rb","jm","ajc",\0,\0,"ajc","jm",\0,"06:00","00:00","000","0",\0
"2021-09-23","rb","ks","dm",\0,\0,"ks","rb",\0,"03:30","00:00","000","0",\0
"2021-09-24","sw","ajc","ck",\0,\0,"ajc","sw",\0,"02:00",\0,"000","0",\0
"2021-09-25","ajc","ajc","ck",\0,\0,"ck","ajc",\0,"04:30","00:00","000","0",\0
"2021-09-26","ajc","jm","jm",\0,\0,"jm","ks",\0,"03:30","00:00","000","0",\0
"2021-09-27","sw","ck","dm",\0,\0,"ck","dm",\0,"02:30","00:00","000","0",\0
"2021-09-28","sw","dc","dm",\0,\0,"dc","sw",\0,"07:00",\0,"000","0",\0
"2021-09-29","sw","ck","dm",\0,\0,"ck","dm",\0,"06:30","00:00","000","0",\0
"2021-09-30","sw","dc","dm",\0,\0,"dc","sw",\0,"09:00",\0,"000","0",\0
"2021-10-01","la","ck","dm",\0,\0,"ck","la",\0,"05:00","00:00","000","0",\0
"2021-10-02","la","ck","dm",\0,\0,"la","ck",\0,"04:30","00:00","000","0",\0
"2021-10-03","la","ck","dm",\0,\0,"dm","la",\0,"05:30","00:00","000","0",\0
"2021-10-04","la","jm","pg",\0,\0,"jm","pg",\0,"03:30","00:00","000","0",\0
"2021-10-05","la","ajc","pg",\0,\0,"ajc","la",\0,"02:30","00:30","000","0",\0
"2021-10-06","la","jm","pg",\0,\0,"jm","pg",\0,"06:00","01:00","000","0",\0
"2021-10-07","la","ajc","pg",\0,\0,"ajc","la",\0,"04:00","00:30","000","0",\0
"2021-10-08","im","jm","pg",\0,\0,"jm","im",\0,"04:30","00:00","000","0",\0
"2021-10-09","im","jm","pg",\0,\0,"im","jm",\0,"05:00","00:00","000","0",\0
"2021-10-10","im","jm","pg",\0,\0,"pg","im",\0,"03:00","00:00","000","0",\0
"2021-10-11","im","gw","sf",\0,\0,"gw","sf",\0,"05:00",\0,"000","0",\0
"2021-10-12","im","rb","sf",\0,\0,"rb","im",\0,"08:30","00:00","000","0",\0
"2021-10-13","im","gw","sf",\0,\0,"gw","sf",\0,"05:00",\0,"000","0",\0
"2021-10-14","im","rb","sf",\0,\0,"rb","im",\0,"09:30","01:30","000","0",\0
"2021-10-15","is","gw","sf",\0,\0,"gw","is",\0,"04:00","00:00","000","0",\0
"2021-10-16","is","gw","sf",\0,\0,"is","gw",\0,"04:30","00:00","000","0",\0
"2021-10-17","is","gw","sf",\0,\0,"sf","is",\0,\0,"00:00",\0,\0,\0
"2021-10-18","is","al","ajc",\0,\0,"al","ajc",\0,"01:30","00:00","000","0",\0
"2021-10-19","is","dm","ajc",\0,\0,"dm","is",\0,"05:30","00:00","000","0",\0
"2021-10-20","is","al","ajc",\0,\0,"al","ajc",\0,"01:30","00:00","000","0",\0
"2021-10-21","is","dm","ajc",\0,\0,"dm","is",\0,"08:00","00:00","000","0",\0
"2021-10-22","jm","al","ajc",\0,\0,"al","jm",\0,"07:30","00:00","000","0",\0
"2021-10-23","jm","al","ajc",\0,\0,"jm","al",\0,"06:00","00:00","000","0",\0
"2021-10-24","jm","al","ajc",\0,\0,"ajc","jm",\0,"02:30","00:00","000","0",\0
"2021-10-25","jm","ks","ck",\0,\0,"ks","ck",\0,"03:00","00:00","000","0",\0
"2021-10-26","jm","la","ck",\0,\0,"la","jm",\0,"03:30","00:00","000","0",\0
"2021-10-27","jm","ks","ck",\0,\0,"ks","ck",\0,"02:30","00:00","000","0",\0
"2021-10-28","jm","la","ck",\0,\0,"la","jm",\0,"07:00","00:00","000","1",\0
"2021-10-29","dc","ks","ck",\0,\0,"ks","dc",\0,"04:00","01:00","000","0",\0
"2021-10-30","dc","ks","ck",\0,\0,"dc","ks",\0,"10:00","01:00","000","0",\0
"2021-10-31","dc","ks","ck",\0,\0,"ck","dc",\0,"11:00","05:30","001","1",\0
"2021-11-01","dc","dm","sw",\0,\0,"dm","sw",\0,"08:00","00:00","000","0",\0
"2021-11-02","dc","im","sw",\0,\0,"im","dc",\0,"05:00","00:30","000","0",\0
"2021-11-03","dc","dm","sw",\0,\0,"dm","sw",\0,"09:30","00:00","000","0",\0
"2021-11-04","dc","im","sw",\0,\0,"im","dc",\0,"06:00","00:30","000","0",\0
"2021-11-05","sf","dm","sw",\0,\0,"dm","sf",\0,"08:00",\0,"000","0",\0
"2021-11-06","sf","dm","sw",\0,\0,"sf","dm",\0,\0,"00:00",\0,\0,\0
"2021-11-07","sf","dm","sw",\0,\0,"sw","sf",\0,"04:00",\0,"000","0",\0
"2021-11-08","sf","pg","sas",\0,\0,"pg","sas",\0,"08:30","00:00","000","0",\0
"2021-11-09","sf","is","sas",\0,\0,"is","sf",\0,"06:00",\0,"000","0",\0
"2021-11-10","sf","pg","gw",\0,\0,"pg","gw",\0,"06:00","00:00","000","0",\0
"2021-11-11","sf","is","gw",\0,\0,"is","sf",\0,"05:00",\0,"000","0",\0
"2021-11-12","ajc","pg","sas",\0,\0,"pg","ajc",\0,"11:00","00:00","000","0",\0
